class,korean_examples,visual_description
salad,"샐러드;고구마샐러드;단호박샐러드;연어샐러드","salad served in a bowl or plate with vegetables, potato, pumpkin, chicken, tofu, salmon, or creamy dressing"
mixed-rice-bowl,"비빔밥;돌솥비빔밥","Korean mixed rice bowl with vegetables, egg, meat, or sauce"
rice-bowl,"덮밥;제육덮밥;연어덮밥","rice bowl topped with meat, seafood, egg, or vegetables"
fried-rice,"볶음밥;김치볶음밥;새우볶음밥","fried rice served on a plate or bowl with mixed small ingredients"
rice-soup,"국밥;돼지국밥;순대국밥","Korean soup served with rice in the bowl or beside the bowl"
rice-porridge,"죽;전복죽;호박죽","rice porridge or congee in a bowl"
seaweed-rice-roll,"김밥;충무김밥","Korean seaweed rice rolls cut into round pieces"
spicy-rice-cakes,"떡볶이;로제떡볶이","chewy Korean rice cakes in red or creamy sauce"
dumplings,"만두;찐만두;군만두","filled dumplings that are steamed, boiled, or pan fried"
fish-cake,"어묵;오뎅","Korean fish cake pieces or fish cake skewers"
fried-food-platter,"튀김;분식튀김","assorted deep fried foods on a plate or tray"
savory-pancake,"전;파전;김치전","Korean savory pancake with vegetables, seafood, or kimchi"
korean-blood-sausage,"순대;아바이순대;모둠순대;찰순대","Korean blood sausage slices served on a plate, often with dipping salt or sauce"
takoyaki,"타코야끼","round Japanese octopus balls topped with sauce, flakes, mayonnaise, or seaweed powder"
soup,"국;탕","clear or light soup in a bowl"
stew,"찌개;된장찌개;김치찌개","thick Korean stew in a bowl or pot with broth and ingredients"
hot-pot,"전골;샤브샤브","large hot pot with broth, vegetables, meat, or seafood"
noodle-soup,"칼국수;잔치국수;고기국수","hot noodle soup with noodles in broth"
cold-noodles,"냉면;막국수","cold noodles served with broth or sauce, often with egg and cucumber"
spicy-mixed-noodles,"비빔국수;쫄면","noodles mixed with red spicy sauce and vegetables"
ramen,"라면;라멘","bowl of ramen noodles in broth"
black-bean-noodles,"짜장면","noodles covered with thick dark black bean sauce"
spicy-seafood-noodles,"짬뽕","spicy red seafood noodle soup"
fried-chicken,"후라이드치킨;양념치킨","pieces of fried chicken, plain or covered in sauce"
pork-cutlet,"돈가스;돈카츠","breaded pork cutlet with sauce"
grilled-pork-belly,"삼겹살;오겹살","grilled pork belly slices"
grilled-beef,"소고기구이;한우구이","grilled beef slices or pieces"
barbecue-ribs,"갈비;돼지갈비;폭립","grilled or barbecued ribs"
bulgogi,"불고기","Korean marinated sliced meat cooked with sauce"
stir-fried-pork,"제육볶음","spicy stir fried pork with red sauce"
braised-chicken,"찜닭;닭볶음탕","braised chicken in sauce with vegetables or noodles"
chicken-galbi,"닭갈비;간장닭갈비;치즈닭갈비","Korean stir-fried chicken galbi served with sauce, vegetables, cheese, or a hot plate"
braised-pork-hock,"족발","braised pork hock or pig trotter slices"
grilled-fish,"생선구이;고등어구이","whole fish or fish fillet grilled on a plate"
raw-fish,"회;물회","sliced raw fish served on a plate"
sushi,"스시;초밥","sushi rice topped or rolled with fish, seafood, egg, or vegetables"
seafood-stew,"해물탕;해물찜","seafood stew or spicy seafood dish with shellfish and seafood"
shrimp-dish,"새우요리;새우튀김","shrimp served grilled, fried, sauced, or cooked"
squid-dish,"오징어볶음;오징어튀김","squid dish with rings, strips, or whole squid pieces"
sweet-and-sour-pork,"탕수육","crispy pork pieces served with sweet and sour sauce"
mala-hot-pot,"마라탕","spicy mala soup or hot pot with mixed ingredients"
dim-sum,"딤섬;샤오롱바오","small Chinese dumplings or dim sum pieces"
udon,"우동;유부우동;냉우동;새우튀김우동","thick udon noodles served in broth or sauce, often with tofu, shrimp tempura, cream, or garnish"
pasta,"파스타","Italian pasta with tomato, cream, oil, or other sauce"
pizza,"피자","round or sliced pizza with cheese and toppings"
hamburger,"햄버거","burger with bun, patty, vegetables, cheese, or sauce"
sandwich,"샌드위치;토스트","sandwich or toast made with bread and fillings"
curry,"카레;커리","thick curry sauce served with rice, bread, or naan"
bread,"빵;크루아상;베이글","bread or bakery item such as rolls, croissants, or bagels"
cake,"케이크;디저트","slice or whole cake with cream, frosting, or toppings"
