class_en,class_ko,n_source_codes,serving_g,kcal_100g,carb_g,sugar_g,fat_g,protein_g,sodium_mg,chol_mg,sat_fat_g,trans_fat_g,carb_pct,protein_pct,fat_pct,kcal_per_serving
barbecue-ribs,갈비,7,266.0,188.96,10.29,3.54,11.99,10.81,560.34,43.6,2.52,0.03,21,22,56,503
black-bean-noodles,짜장면,3,483.0,111.72,17.02,5.92,1.95,6.14,236.19,8.68,0.33,0.03,62,22,16,540
braised-chicken,찜닭,3,314.0,126.63,7.16,0.78,6.56,9.68,193.47,30,1.3,0.0,23,31,47,398
braised-pork-hock,족발,3,310.0,194.99,11.34,6.85,8.55,16.5,497.51,57.55,2.35,0.0,24,35,41,604
bread,빵,45,150.0,274.41,37.4,9.14,10.77,7.34,238.68,57.54,3.48,0.37,54,11,35,412
bulgogi,불고기,3,237.0,144.91,6.97,2.27,8.43,10.12,224.22,27.08,2.79,0.0,19,28,53,343
cake,케이크,8,182.0,321.6,35.09,13.84,18.06,4.64,146.36,69.69,3.71,0.12,44,6,51,585
cold-noodles,냉면,4,328.0,166.23,28.53,1.85,2.13,7.8,472.95,31.89,0.53,0.02,69,19,12,545
curry,카레,8,308.0,153.67,12.16,1.74,9.24,5.9,529.23,30.36,3.07,0.41,31,15,54,473
dim-sum,딤섬(찐만두),2,272.0,364.27,34.71,4.29,19.3,10.55,149.78,17.38,7.5,0.07,39,12,49,991
doenjang-jjigae,된장찌개,2,300.0,103.87,4.48,0.57,6.75,6.35,378.21,20.1,2.01,0.11,17,24,58,312
fish-cake,어묵,2,110.0,191.01,16.52,1.51,7.81,12.91,401.07,53.03,0.57,1.69,35,27,37,210
fried-chicken,후라이드치킨,43,217.0,236.26,21.37,4.98,11.69,11.37,355.92,88,3,0.83,36,19,45,513
fried-food-platter,튀김(모둠),3,124.0,231.65,18.34,0.6,11.86,12.18,486.79,45.49,2,1.15,32,21,47,287
grilled-fish,생선구이,7,74.0,191.08,0.46,,10.66,21.69,400.21,61.25,9.47,0.68,1,47,52,141
grilled-pork-belly,삼겹살,1,205.0,220.4,3.14,,18.2,10.81,159.28,32.15,9.28,0.0,6,20,75,452
hamburger,햄버거,5,227.0,179.43,16.68,0.87,7.15,12.01,293.58,21.27,4,0.35,37,27,36,407
japanese-ramen,일본라멘,5,496.0,114.82,13.52,0.77,4.51,4.51,400.73,110.56,1.61,0.02,48,16,36,570
jjigae-red,빨간찌개,4,371.0,75.39,4.1,1.32,3.92,6.14,452.91,26.57,0.44,0.0,22,32,46,280
kalguksu,칼국수,5,512.0,95.03,17.27,1.64,0.55,4.29,319.28,2.54,0.07,0.0,76,19,5,487
korean-blood-sausage,순대,3,206.0,151.63,13.05,0.01,6.47,9.68,476.18,95.94,2.04,0.0,35,26,39,312
korean-ramyeon-red,라면,3,519.0,144.39,19.87,,4.69,5.41,382.55,0,1.09,0.03,55,15,29,749
mixed-rice-bowl,비빔밥,5,362.0,171.98,28.75,1.32,3.65,5.82,236.23,28.16,0.47,0.11,67,14,19,623
pasta,파스타,18,359.0,245.87,27.11,0.98,12.03,7.24,366.43,28.99,1.5,0.02,44,12,44,883
pizza,피자,29,193.0,199.4,26.51,2.46,6.27,7.71,550,13.61,1.58,0.08,55,16,29,385
pork-cutlet-dry,돈가스,6,194.0,241.61,24.75,7.7,9.64,12.69,204.08,65.13,4.5,0.87,42,21,37,469
raw-fish,회,7,236.0,114.61,10.22,2.17,2.52,12.11,258.22,13.37,0.3,0.01,37,43,20,270
rice-noodle-soup,쌀국수,11,594.0,97.96,15.58,0.19,2.25,3.53,278.83,13,0.44,0.02,64,15,21,582
rice-porridge,죽,8,205.0,227.06,28.74,15.85,10.53,4.79,278.4,32.43,3.77,0.25,50,8,41,465
rice-soup,국밥,3,517.0,91.34,17.51,,0.71,3.55,192.17,3.45,0.06,0.01,77,16,7,472
salad,샐러드,11,134.0,129.18,10.64,1.78,7.52,5.57,128.31,21.84,1.17,0.03,32,17,51,173
sandwich,샌드위치,26,195.0,242.8,22.36,1.77,13.77,8.34,445.3,53.57,4.47,0.21,36,14,50,473
savory-pancake,전/부침개,3,217.0,171.05,23.73,,4.55,8.15,318.42,10.99,0.27,0.78,56,19,24,371
seaweed-rice-roll,김밥,10,205.0,232.96,37.97,1.75,5.11,7.51,372.18,46.19,0.51,0.3,67,13,20,478
spicy-mixed-noodles,비빔국수,2,175.0,230.02,47.3,3.88,0.77,6.54,448.53,0.54,0.08,0.0,85,12,3,403
sushi,초밥,9,221.0,248.86,36.9,3.29,3.55,15.17,536.98,111.78,0.69,0.02,61,25,13,550
takoyaki,타코야키,1,206.0,161.46,15.56,1.65,8.26,5.23,120.11,36.6,0.49,0.77,40,13,47,333
tteokbokki-red,떡볶이,6,280.0,199.53,33.73,3.77,4.42,6.17,458.77,7.84,1.06,0.05,68,12,20,559
udon,우동,4,468.0,92.39,10.01,,4.27,2.51,233.21,9.31,0.34,0.01,45,11,43,432
western-cream-soup,양식수프,5,274.0,139.17,16.24,0.36,5.84,5.05,527.14,14.95,1.38,0.07,47,15,38,381
