class,exp09_ap50,exp10_ap50,delta
barbecue-ribs,0.863,0.9082,+0.045
black-bean-noodles,0.995,0.995,+0.000
braised-chicken,0.9708,0.9829,+0.012
braised-pork-hock,0.9918,0.9841,-0.008
bread,0.8011,0.7227,-0.078
bulgogi,0.7781,0.7618,-0.016
cake,0.9724,0.9659,-0.007
cold-noodles,0.7539,0.7252,-0.029
cold-ramen,0.8888,0.9506,+0.062
curry,0.8939,0.9021,+0.008
dim-sum,0.9936,0.9944,+0.001
doenjang-jjigae,0.8419,0.9045,+0.063
dumplings,0.8839,0.9142,+0.030
fish-cake,0.9312,0.9356,+0.004
fried-chicken,0.8963,0.8681,-0.028
fried-food-platter,0.9112,0.9448,+0.034
fried-rice,0.9928,0.9926,-0.000
grilled-beef,0.8445,0.8965,+0.052
grilled-fish,0.9112,0.9427,+0.031
grilled-pork-belly,0.8662,0.9388,+0.073
hamburger,0.9945,0.994,-0.001
hot-pot,0.7724,0.7991,+0.027
japanese-ramen,0.8727,0.8536,-0.019
jjamppong,0.6559,0.6731,+0.017
jjigae-red,0.6554,0.6207,-0.035
kalguksu,0.8945,0.8918,-0.003
korean-blood-sausage,0.9629,0.9651,+0.002
korean-clear-soup,0.7419,0.7426,+0.001
korean-ramyeon-red,0.9865,0.9922,+0.006
korean-red-soup,0.7063,0.7681,+0.062
mala-hot-pot,0.2401,,삭제
mixed-rice-bowl,0.8816,0.8822,+0.001
nagasaki-champon,0.6543,0.6484,-0.006
noodle-plain,0.8101,0.7957,-0.014
pasta,0.9471,0.9421,-0.005
pizza,0.9581,0.9695,+0.011
pork-cutlet-dry,0.911,0.9674,+0.056
pork-cutlet-sauced,0.7803,0.7595,-0.021
raw-fish,0.8642,0.8472,-0.017
rice-bowl,0.9291,0.8983,-0.031
rice-noodle-soup,0.7163,0.7787,+0.062
rice-porridge,0.9623,0.9692,+0.007
rice-soup,0.6982,0.7672,+0.069
salad,0.9473,0.9641,+0.017
sandwich,0.9621,0.9716,+0.010
savory-pancake,0.8944,0.7625,-0.132
seafood-clear-tang,0.7481,0.8363,+0.088
seafood-jjim,0.8656,0.8476,-0.018
seafood-spicy-tang,0.6402,0.7674,+0.127
seaweed-rice-roll,0.9057,0.9203,+0.015
shrimp-dish,0.9236,0.9424,+0.019
spicy-mixed-noodles,0.8323,0.8326,+0.000
squid-dish,0.9356,0.9355,-0.000
stir-fried-pork,0.4373,,삭제
sushi,0.9622,0.9432,-0.019
sweet-and-sour-pork,0.2911,,삭제
takoyaki,0.7132,0.8895,+0.176
tteokbokki-cream-rose,0.8439,0.8855,+0.042
tteokbokki-jajang,0.7892,0.7865,-0.003
tteokbokki-red,0.8877,0.8876,-0.000
udon,0.7683,0.811,+0.043
western-cream-soup,0.9906,0.9751,-0.016
