class,minority,exp03_base,exp04_aug,exp05_dup,aug_delta,dup_delta
salad,False,0.9366,0.936,0.9324,-0.0006,-0.0042
mixed-rice-bowl,False,0.9007,0.8899,0.9243,-0.0108,0.0237
rice-bowl,False,0.8512,0.8248,0.8282,-0.0264,-0.023
fried-rice,False,0.9663,0.9773,0.9269,0.011,-0.0394
rice-soup,True,0.8143,0.8063,0.8343,-0.0081,0.02
rice-porridge,False,0.953,0.9045,0.9526,-0.0485,-0.0004
seaweed-rice-roll,False,0.9531,0.9488,0.9486,-0.0043,-0.0045
spicy-rice-cakes,False,0.7332,0.7741,0.8065,0.0409,0.0733
dumplings,False,0.9158,0.8784,0.865,-0.0374,-0.0508
fish-cake,True,0.9283,0.913,0.9002,-0.0152,-0.0281
fried-food-platter,False,0.799,0.7561,0.7359,-0.0429,-0.0631
savory-pancake,False,0.9343,0.9017,0.8861,-0.0326,-0.0483
korean-blood-sausage,False,0.969,0.9387,0.9199,-0.0303,-0.0491
takoyaki,True,0.6751,0.5074,0.8414,-0.1677,0.1663
soup,False,0.6905,0.7343,0.742,0.0438,0.0515
stew,False,0.6387,0.7175,0.6508,0.0787,0.012
hot-pot,False,0.6714,0.5823,0.6187,-0.089,-0.0527
noodle-soup,False,0.5851,0.6323,0.5307,0.0472,-0.0544
cold-noodles,False,0.8445,0.6563,0.6835,-0.1882,-0.161
spicy-mixed-noodles,True,0.799,0.8136,0.8038,0.0146,0.0047
ramen,False,0.6485,0.5924,0.6571,-0.0561,0.0087
black-bean-noodles,True,0.995,0.995,0.995,0.0,0.0
spicy-seafood-noodles,False,0.5262,0.4485,0.5207,-0.0778,-0.0055
fried-chicken,False,0.9167,0.9331,0.907,0.0164,-0.0097
pork-cutlet,False,0.8617,0.8979,0.8714,0.0362,0.0097
grilled-pork-belly,True,0.8354,0.7427,0.7872,-0.0927,-0.0482
grilled-beef,False,0.8808,0.8187,0.8578,-0.0621,-0.023
barbecue-ribs,False,0.8528,0.8804,0.8839,0.0275,0.0311
bulgogi,False,0.7561,0.8247,0.6869,0.0686,-0.0691
stir-fried-pork,True,0.6031,0.679,0.3466,0.0759,-0.2565
braised-chicken,True,0.9321,0.9713,0.958,0.0392,0.026
chicken-galbi,True,0.9045,0.7225,0.7737,-0.182,-0.1307
braised-pork-hock,True,0.879,0.863,0.8565,-0.016,-0.0225
grilled-fish,False,0.933,0.9372,0.9347,0.0043,0.0017
raw-fish,False,0.8812,0.8561,0.8003,-0.0251,-0.0809
sushi,False,0.9751,0.9475,0.945,-0.0276,-0.0301
seafood-stew,False,0.6021,0.4648,0.5279,-0.1372,-0.0742
shrimp-dish,False,0.9256,0.9178,0.8627,-0.0078,-0.0628
squid-dish,True,0.9533,0.895,0.895,-0.0583,-0.0583
sweet-and-sour-pork,True,0.458,0.4988,0.4351,0.0408,-0.0229
mala-hot-pot,True,0.3043,0.276,0.2295,-0.0283,-0.0748
dim-sum,False,0.9907,0.9855,0.9907,-0.0052,0.0
udon,False,0.857,0.8172,0.8311,-0.0399,-0.026
pasta,False,0.9187,0.9043,0.9227,-0.0143,0.0041
pizza,False,0.9504,0.9195,0.9438,-0.031,-0.0066
hamburger,False,0.9933,0.9937,0.9826,0.0004,-0.0107
sandwich,False,0.9203,0.9076,0.9264,-0.0127,0.0062
curry,False,0.7028,0.7223,0.8238,0.0195,0.121
bread,False,0.8258,0.8468,0.8041,0.021,-0.0217
cake,False,0.9613,0.9306,0.9417,-0.0307,-0.0196
