taxo59_class,n_clean,n_high,n_med
cake,1589,1362,227
sandwich,1488,1012,476
bread,1149,961,188
dim-sum,1101,1011,90
western-cream-soup,1079,838,241
takoyaki,1075,936,139
pizza,1021,1009,12
savory-pancake,1017,916,101
fried-rice,1012,890,122
salad,1009,859,150
hamburger,1001,999,2
pasta,997,939,58
japanese-ramen,991,919,72
rice-noodle-soup,989,834,155
seaweed-rice-roll,987,960,27
black-bean-noodles,977,775,202
korean-clear-soup,959,607,352
sushi,950,876,74
curry,934,737,197
fried-chicken,922,813,109
jjigae-red,884,596,288
udon,832,607,225
mixed-rice-bowl,808,586,222
raw-fish,786,664,122
tteokbokki-red,717,568,149
bulgogi,716,366,350
barbecue-ribs,666,367,299
grilled-pork-belly,270,202,68
tteokbokki-cream-rose,169,93,76
grilled-beef,66,6,60
rice-bowl,63,0,63
tteokbokki-jajang,45,20,25
dumplings,40,8,32
shrimp-dish,38,8,30
hot-pot,38,1,37
braised-chicken,17,5,12
squid-dish,11,0,11
pork-cutlet-sauced,8,1,7
korean-ramyeon-red,7,4,3
grilled-fish,6,1,5
spicy-mixed-noodles,6,0,6
noodle-plain,6,0,6
fried-food-platter,4,0,4
cold-noodles,4,1,3
jjamppong,4,0,4
rice-soup,3,0,3
cold-ramen,3,0,3
nagasaki-champon,2,0,2
fish-cake,2,0,2
rice-porridge,1,1,0
seafood-spicy-tang,1,0,1
doenjang-jjigae,1,0,1
pork-cutlet-dry,1,0,1
